Function;Number of proteins;totPrctP;Correlated proteins;corPrctP
{Translation};102;20.489440356787838;80;16.453649935742533
{DNA maintenance};33;1.6155511774821667;3;0.14858219500457998
{Signal Transduction};32;0.75444317836881503;1;0.023128554031556895
{Amino Acid Metabolism};102;11.788944289387116;52;9.0139366257971343
{Carbohydrate Metabolism};130;24.710490823729256;17;2.2160763602604208
{Membrane Transport};88;8.8775711713152212;13;1.4990150483233322
{Nucleotide Metabolism};61;6.4839646124345549;34;4.1425693742593266
{Transcription};40;1.9787830129046964;9;0.52226722993961938
{Other enzymes};57;2.2315863087767411;13;0.60453961897158881
{Metabolism of Cofactors and Vitamins};51;1.9290798969653227;14;0.89721588563681887
{Folding, Sorting and Degradation};88;6.9488825828349716;29;2.1031560590092142
{Metabolism of Other Amino Acids};22;1.1435326613502514;3;0.12230451974492293
{Glycan Biosynthesis and Metabolism};12;0.49793265790054658;3;0.14123362930430183
{Energy Metabolism};38;4.4986339055579991;11;0.94814330913600275
{NotMapped};3;0.24193795429339596;0;0
{Cytoskeleton};5;0.35771036810218304;0;0
{Cell Motility};8;0.90920752793890425;1;0.39031577075320212
{Xenobiotics Biodegradation and Metabolism};4;0.092494888852682949;1;0.059801370535164849
{Lipid Metabolism};29;3.078456947802886;4;0.34810278717809301
{Metabolism of Terpenoids and Polyketides};8;0.15112384987775954;6;0.12390187557831833
{Vesicular transport};4;1.0303826534940204;1;0.14168126547369145
{Signaling Molecules and Interaction};1;0.0017740581566208042;0;0
{Cell Growth and Death};1;0.18807511568606147;1;0.18807511568606147
